Transaction
"['River City Pub', 'Julia Oliver', 'Low', 'Medium']"
"['HarperSanFrancisco', 'Sheldon Vanauken', 'Low', 'Long']"
"['Landoll', 'Landoll', 'Low', 'Long']"
"['Random House Inc', 'Martin Cruz Smith', 'High', 'Long']"
"['Lonely Planet Publications', 'Damien Simonis', 'Low', 'Long']"
"['Distribooks Inc', 'Collard', 'Low', 'Medium']"
"['LGF', 'Marion Zimmer Bradley', 'Low', 'Long']"
"['PublicAffairs', 'Chris Hedges', 'Medium', 'Long']"
"['Dell Publishing Company', 'John Grisham', 'High', 'Long']"
"['Random House Large Print Publishing', 'John Grisham', 'High', 'Long']"
"['Random House Inc', 'Dave Barry', 'Medium', 'Short']"
"['T A N Books &amp; Publishers', 'Mary Dorcy', 'Low', 'Long']"
"['Tor Books (Mm)', 'Sharan Newman', 'Low', 'Medium']"
"['Harry N Abrams', 'Earl B. McElfresh', 'Low', 'Medium']"
"['Bridge Publications', 'L. Ron Hubbard', 'Low', 'Long']"
"['Bridge Publications', 'L. Ron Hubbard', 'Low', 'Short']"
"['Jonlin Books', 'A. L. Haskett', 'Low', 'Short']"
"['Goldmann', 'Elizabeth George', 'Low', 'Medium']"
"['Simon &amp; Schuster (Trade Division)', 'Alan Titchmarsh', 'Medium', 'Long']"
"['Atlantic Monthly Press', 'Charles Frazier', 'Medium', 'Medium']"
"['Crown Publishing Group (NY)', 'Matthew Bunson', 'Low', 'Short']"
"['Fawcett Books', 'Nancy Star', 'Low', 'Long']"
"['Ballantine Books', 'Gail Godwin', 'Medium', 'Long']"
"[""Simon &amp; Schuster Children's Publishing"", 'Margaret Peterson Haddix', 'Low', 'Long']"
"['Atheneum', 'Willo Davis Roberts', 'Medium', 'Medium']"
"['Little, Brown', 'Anita Shreve', 'Medium', 'Long']"
"['William Morrow', 'Jillian Medoff', 'Low', 'Long']"
"['Guinness World Records Ltd.', 'Claire Folkard', 'Low', 'Long']"
"['Amsco School Pubns Inc', 'Abby Kanter', 'Low', 'Long']"
"['Theatre Communications Group', 'Nilo Cruz', 'Low', 'Long']"
"['Mysterious Press', 'David Rosenfelt', 'Medium', 'Medium']"
"['Amistad', 'Austin Clarke', 'Medium', 'Short']"
"['Bantam', 'Dean Koontz', 'High', 'Long']"
"['HarperCollins', 'Virginia Lanier', 'Low', 'Medium']"
"['HarperCollins', 'James Grippando', 'Low', 'Short']"
"['Putnam Pub Group', 'Robert B. Parker', 'Low', 'Short']"
"['Cork Hill Press', 'Maria Elena Morgan', 'Low', 'Medium']"
"['Three Rivers Press (CA)', 'Jim Karas', 'Low', 'Long']"
"['Llewellyn Pubns', 'Martin V. Riccardo', 'Low', 'Long']"
"['Harpercollins', 'Gerard Del Re', 'Low', 'Long']"
"['Oxford University Press', 'Ian Kellam', 'Low', 'Long']"
"['HarperCollins', 'Martina Devlin', 'Low', 'Long']"
"['Dell Publishing Company', 'Sherryl Woods', 'Low', 'Long']"
"['Hannover House USA', 'Vivian Schilling', 'Medium', 'Long']"
"['Andrews McMeel Publishing', 'Scott Adams', 'Low', 'Medium']"
"['Eos', 'Garth Nix', 'Medium', 'Long']"
"['HarperCollins', 'Garth Nix', 'High', 'Long']"
"['Weidenfeld and Nicolson', 'Henry Root', 'Low', 'Long']"
"['Simon Pulse', 'Julie Reece Deaver', 'Low', 'Medium']"
"['Little Simon', 'Sandra Boynton', 'Medium', 'Medium']"
"['Bridge of Love Publications UK', 'David Icke', 'Low', 'Long']"
"['Carroll &amp; Graf Publishers', 'Gemma Alexander', 'Low', 'Long']"
"['William Morrow &amp; Company', 'Joseph Finder', 'Medium', 'Long']"
"['Putnam Pub Group', 'Nora Roberts', 'High', 'Medium']"
"['Goldmann', 'Wladimir Kaminer', 'Low', 'Long']"
"['Ullstein Tb', 'Joanne Harris', 'Low', 'Medium']"
"['Random House Inc', 'Anne Tyler', 'High', 'Medium']"
"['Subterranean Press', 'Lucius Shepard', 'Low', 'Long']"
"['Arena', 'Frances Hodgson Burnett', 'Medium', 'Short']"
"['Dell', 'Kathryn M. Drennan', 'Low', 'Long']"
"['Harvest House Publishers', 'Stormie Omartian', 'Low', 'Medium']"
"['Banta &amp; Pool Literary Properties, LLC', 'Kirby Record', 'Low', 'Long']"
"['Jain Publishing Company', 'Steven Ferry', 'Low', 'Long']"
"['Light Works Pub', 'Jean Krueger', 'Low', 'Long']"
"['TurkeyFoot Press', 'Donald W. Hayward', 'Low', 'Long']"
"['Random House Audio', 'Anne Rice', 'High', 'Long']"
"['Alfred A. Knopf', 'Michael Crichton', 'High', 'Long']"
"['Random House Audio', 'Michael Crichton', 'High', 'Long']"
"['Putnam Pub Group', 'William Gibson', 'High', 'Long']"
"['Thomas Nelson Inc', 'Charles R. Swindoll', 'Low', 'Long']"
"['Kensington Publishing Corporation', 'Chris Kenry', 'Medium', 'Long']"
"['Starfire', 'Lurlene McDaniel', 'Low', 'Medium']"
"['Piper', 'Jan Guillou', 'Low', 'Short']"
"['I.M.P. Fiction', 'Stuart David', 'Low', 'Short']"
"['Second Story Press', 'Manjusha Pawagi', 'Low', 'Long']"
"['Meadowbrook', 'Cynthia MacGregor', 'Low', 'Medium']"
"['Scholastic', 'Gary Mechler', 'Low', 'Medium']"
"['Dutton Books', 'Ken Follett', 'High', 'Long']"
"['Yearling Books', 'Richard Peck', 'Low', 'Long']"
"[""St. Martin's Press"", 'James Herriot', 'Medium', 'Medium']"
"['Audio Renaissance', 'James Herriot', 'Medium', 'Long']"
"['Leisure Books', 'Tim Lebbon', 'Low', 'Long']"
"['Doubleday Books', 'Mikal Gilmore', 'Low', 'Long']"
"['Turnstone Press', 'Miriam Toews', 'Medium', 'Medium']"
"['Stoddart', 'Miriam Toews', 'Medium', 'Long']"
"['Simon Spotlight Entertainment', 'Rosalind Noonan', 'Low', 'Long']"
"['Alfred A. Knopf', 'Anne Rice', 'High', 'Long']"
"['Distribooks Inc', 'Oreglio Flavio', 'Low', 'Long']"
"['McClelland &amp; Stewart Ltd', 'Scott Gardiner', 'Low', 'Long']"
"['Bantam', 'Elizabeth George', 'Medium', 'Medium']"
"[""G. P. Putnam's Sons"", 'John Sandford', 'Medium', 'Medium']"
"['Kogan Page', 'David Hussey', 'Low', 'Long']"
"['Harlequin', 'Charlotte Douglas', 'Low', 'Medium']"
"['Star Trek', 'Jean Lorrah', 'Low', 'Medium']"
"['Star Trek', 'Keith Sharee', 'Medium', 'Long']"
"[""St. Martin's Press"", 'Mary Hunt', 'Low', 'Long']"
"['Simon &amp; Schuster Audio', 'Larry McMurtry', 'Medium', 'Long']"
"['Harpercollins', 'Tony Hillerman', 'Medium', 'Long']"
"['Liamworks', 'Harry Browne', 'Low', 'Medium']"
"['Debols!llo', 'Luis Maria Anson', 'Low', 'Long']"
"['Ballantine Books', 'John Nichols', 'Low', 'Long']"
"['The International Library of Poetry', 'Claire Foshee', 'Low', 'Medium']"
"['Natl Reference Inst Pubns', 'Alisa M. Hoffman', 'Low', 'Long']"
"['Warner Books', 'Sidney Sheldon', 'Low', 'Long']"
"['Harmony', 'Roger Housden', 'Low', 'Long']"
"['Viking Books', 'J. M. Coetzee', 'High', 'Long']"
"['Bridge Works Publishing Company', 'Lorna Landvik', 'Low', 'Medium']"
"['Putnam Pub Group', 'Weigle', 'Low', 'Long']"
"['Diogenes Verlag AG', 'John Irving', 'Low', 'Long']"
"['Alpha Books', 'Patrick Wolff', 'Medium', 'Medium']"
"['Perennial Currents', 'Matt Groening', 'Low', 'Long']"
"['Harpercollins', 'Joanna Trollope', 'Medium', 'Long']"
"['Doubleday Books', 'Aimee Bender', 'Low', 'Long']"
"[""St. Martin's Press"", 'Janet Evanovich', 'Low', 'Medium']"
"['Perennial', 'Christopher Moore', 'Low', 'Short']"
"['Bluedoor Publishing', 'Judy Alsager', 'Low', 'Medium']"
"[""G. P. Putnam's Sons"", 'Tom Clancy', 'Low', 'Long']"
"['HarperAudio', 'Jacquelyn Mitchard', 'Low', 'Medium']"
"['Bantam', 'Arthur Conan Doyle', 'Low', 'Long']"
"['Simon &amp; Schuster (Trade Division)', 'Caiseal Mor', 'Low', 'Long']"
"['Crossway Books', 'Frank E. Peretti', 'High', 'Long']"
"['Pantheon Books', 'Julia Glass', 'Medium', 'Long']"
"['Bethany House Publishers', 'Beverly Lewis', 'Medium', 'Long']"
"['Bethany House Publishers', 'Beverly Lewis', 'Medium', 'Medium']"
"['Ballantine Books', 'Dave Barry', 'Low', 'Long']"
"['Baen', 'Mercedes Lackey', 'Low', 'Medium']"
"['McGraw-Hill', 'Erma Bombeck', 'Low', 'Short']"
"['Alfred A. Knopf', 'Anne Rice', 'High', 'Short']"
"['Random House Audio', 'Anne Rice', 'High', 'Long']"
"['Simon &amp; Schuster', 'Jeanne Avery', 'Low', 'Medium']"
"['Little Brown &amp; Company', 'Breena Clarke', 'Medium', 'Long']"
"['Little Brown and Company', 'Breena Clarke', 'Medium', 'Long']"
"['Diogenes Verlag', 'Paulo Coelho', 'Low', 'Long']"
"['Bantam Books', 'Jane Feather', 'Medium', 'Long']"
"['Avon', 'Danelle Harmon', 'Low', 'Long']"
"['Three Rivers Press (CA)', 'Debbie Travis', 'Low', 'Long']"
"['Daw Books', 'Kate Elliott', 'Low', 'Long']"
"['Random House', 'Claire Berlinski', 'Medium', 'Long']"
"['Baen', 'Lois McMaster Bujold', 'Low', 'Long']"
"['Avon', 'Lisa Kleypas', 'Medium', 'Medium']"
"['Berkley Publishing Group', 'Casey Claybourne', 'Low', 'Short']"
"['Mira', 'Debbie Macomber', 'Low', 'Long']"
"['Island', 'Craig Holden', 'Medium', 'Short']"
"['Pomegranate Communications', 'Eugene Stiles', 'Low', 'Long']"
"['Alfred A. Knopf', 'Gay Talese', 'Medium', 'Long']"
"['Avon', 'Rosemary Rogers', 'Low', 'Medium']"
"['Putnam Publishing Group', 'Tom Clancy', 'High', 'Long']"
"['Scribner', 'Kathy Reichs', 'Low', 'Long']"
"['Warner Books', 'Sandra Brown', 'High', 'Medium']"
"['Health Communications', 'Jennie Hernandez Hanks', 'Low', 'Short']"
"['Avon', 'Christina Dodd', 'Low', 'Long']"
"['Pocket', 'Jayne Ann Krentz', 'Medium', 'Long']"
"['P.O.L.', 'Nicolas Fargues', 'Low', 'Long']"
"['Walker &amp; Company', 'Miranda Lundy', 'Low', 'Medium']"
"['Pocket', 'Winston Groom', 'Low', 'Long']"
"['Anatolian Treasures', 'Anatolian Treasures', 'Low', 'Long']"
"['Tor Science Fiction', 'David Drake', 'Low', 'Long']"
"['Leisure Books', 'Jemiah Jefferson', 'Low', 'Long']"
"['Trafalgar Square', 'Arabella Weir', 'Low', 'Short']"
"['Bantam Dell Pub Group', 'Elmore Leonard', 'High', 'Short']"
"['Dell Publishing Company', 'Elmore Leonard', 'High', 'Long']"
"['Authorhouse', 'G. E. Dabbs', 'Low', 'Short']"
"['Red Dress Ink', 'Wendy Markham', 'Low', 'Long']"
"['WestBow Press', 'Penelope J. Stokes', 'Low', 'Short']"
"['WestBow Press', 'Penelope J. Stokes', 'Low', 'Long']"
"['Word Publishing', 'Penelope J. Stokes', 'Medium', 'Long']"
"['Doubleday Books', 'Valerie Martin', 'Medium', 'Long']"
"['Scholastic', 'Jahnna N. Malcolm', 'Low', 'Long']"
"['Scholastic', 'Ben M. Baglio', 'Low', 'Long']"
"['Dutton Books', 'Benjamin Hoff', 'Low', 'Long']"
"['Brilliance Audio', 'Jennifer Crusie', 'Medium', 'Long']"
"['Viking Books', 'Joanna Trollope', 'Medium', 'Long']"
"['HarperCollins', 'Liane Moriarty', 'Medium', 'Medium']"
"['Little Apple Books (Scholastic)', 'Parker C. Hinter', 'Low', 'Long']"
"['Aladdin', 'Carolyn Keene', 'Low', 'Short']"
"['Aladdin', 'Carolyn Keene', 'Low', 'Long']"
"['Schoenhofsforeign Books Inc', 'Almudena Grandes', 'Low', 'Medium']"
"[""St. Martin's Paperbacks"", 'Celeste Bradley', 'Medium', 'Medium']"
"['Random House Childrens Books', 'Vivian Vande Velde', 'Low', 'Long']"
"['Dutton Books', 'Lisa Jewell', 'Medium', 'Long']"
"['Ballantine Books', 'Marianne Fredriksson', 'Low', 'Long']"
"['Cantwell Hamilton Pr', 'Kirk Martin', 'Low', 'Short']"
"['Hyperion', 'Laura Moriarty', 'Medium', 'Long']"
"['John F. Blair Publisher', 'Judith Minthorn Stacy', 'Low', 'Long']"
"['William Morrow &amp; Company', 'Sidney Sheldon', 'Low', 'Medium']"
"['William Morrow', 'Sidney Sheldon', 'Low', 'Medium']"
"['Planeta Pub Corp', 'Christian Jacq', 'Medium', 'Long']"
"['Ediciones B', 'Brenda Gates', 'Low', 'Long']"
"['Grupo Zeta', 'Joan Dahr Lambert', 'Low', 'Medium']"
"['Lorenz Books', 'Marion Elliot', 'Low', 'Long']"
"['Zander eBooks', 'Maria Grazia Swan', 'Low', 'Medium']"
"['Goldmann', 'Elizabeth George', 'Low', 'Medium']"
"['Landoll', 'Dandi Daley Mackall', 'Low', 'Long']"
"['Bantam', 'Nora Roberts', 'Medium', 'Medium']"
"['Random House Value Publishing', 'Judith Krantz', 'Medium', 'Long']"
"['Smooch', 'Naomi Nash', 'Low', 'Long']"
"['Bantam Books', 'Jane Haddam', 'Low', 'Medium']"
"[""St. Martin's Paperbacks"", 'Robert Ludlum', 'Low', 'Long']"
"['Mira', 'Ann Major', 'Low', 'Long']"
"['Starfire', 'Stephen Manes', 'Low', 'Long']"
"['Scribner', 'Annie Proulx', 'High', 'Long']"
"['Scribner', 'Annie Proulx', 'High', 'Long']"
"['De Arbeiderspers', 'Cees Nooteboom', 'Low', 'Long']"
"['Fireside', 'Brian L. Weiss', 'Medium', 'Medium']"
"['Fischer (Tb.), Frankfurt', 'Barbara Wood', 'Low', 'Medium']"
"['Hard Shell Word Factory', 'Kate Douglas', 'Low', 'Long']"
"['Wizards of the Coast', 'Paul B. Thompson', 'Low', 'Long']"
"['Griffin Trade Paperback', 'Bett Williams', 'Low', 'Medium']"
"['Harlequin', 'Catherine Spencer', 'Low', 'Long']"
"['Random House', 'Peter Matthiessen', 'Medium', 'Long']"
"['Egmont Childrens Books', 'Owain Bell', 'Low', 'Long']"
"['Picador', 'Tim Winton', 'Medium', 'Long']"
"['Aladdin', 'Carolyn Keene', 'Low', 'Long']"
"['HarperTrophy', 'Karen Cushman', 'Low', 'Medium']"
"['MTV', 'Louisa Luna', 'Low', 'Long']"
"['Schneekluth', 'Wolfgang Hohlbein', 'Medium', 'Long']"
"['Heyne', 'Stan Nicholls', 'Low', 'Long']"
"['Dorling Kindersley', 'Miriam Stoppard', 'Low', 'Long']"
"['Great Quotations', 'Marlene Rimler', 'Low', 'Medium']"
"['Chronicle Books', 'Cameron Tuttle', 'Low', 'Long']"
"['Chronicle Books', 'Cameron Tuttle', 'Low', 'Medium']"
"['Authorhouse', 'Pauline Tai', 'Low', 'Long']"
"['Carol Publishing Corporation', 'Louisa May Alcott', 'Low', 'Long']"
"['Carl Hanser', 'Gaston Leroux', 'Low', 'Long']"
"['Orion Publishing Co', 'Douglas Hill', 'Low', 'Medium']"
"['Smithmark Pub', 'Bryce Courtenay', 'Medium', 'Medium']"
"['Harcourt', 'T. S. Eliot', 'High', 'Long']"
"['Simon Pulse', 'Christopher Pike', 'Low', 'Long']"
"['Putnam Pub Group', 'John Varley', 'Medium', 'Medium']"
"['Harpercollins', 'James Hillman', 'Low', 'Medium']"
"['Doubleday Books', 'Dennis Miller', 'Low', 'Long']"
"['Alyson Publications', 'Amy Sonnie', 'Low', 'Medium']"
"['Thunder Bay Press (CA)', 'Jane Lyle', 'Low', 'Long']"
"['Red Wheel', 'John Le Breton', 'Low', 'Long']"
"['Viking Books', 'T. Coraghessan Boyle', 'Low', 'Medium']"
"['Avon', 'Karen Hawkins', 'Low', 'Long']"
"['Mira', 'Diana Palmer', 'Medium', 'Medium']"
"['Acacia Press, Inc.', 'Greg Egan', 'Medium', 'Long']"
"['Roc', 'Laura Anne Gilman', 'Low', 'Long']"
"['Pocket', 'Andrew Morton', 'High', 'Long']"
"['Silhouette', 'Eileen Wilks', 'Low', 'Long']"
"['Silhouette', 'Maureen Child', 'Low', 'Long']"
"['Silhouette', 'Amy J. Fetzer', 'Low', 'Medium']"
"['Dutton Books', 'Gary L. Blackwood', 'Medium', 'Long']"
"['Hyperion', 'Rhonda Findling', 'Low', 'Medium']"
"['University of Queensland Press', 'Peter Carey', 'Medium', 'Long']"
"['Farrar, Straus and Giroux', 'Jim Crace', 'Medium', 'Medium']"
"['National Writers Press', 'Mike Romano', 'Low', 'Short']"
"['Putnam Publishing Group', 'A. Scott Berg', 'Medium', 'Short']"
"['Warner Books', 'Cheryl Peck', 'Low', 'Long']"
"['Love Spell', 'Pat White', 'Low', 'Long']"
"['HarperTorch', 'Lynn Emery', 'Low', 'Long']"
"['Five Star (ME)', 'Africa Fine', 'Low', 'Medium']"
"['Prime Crime', 'Malinda Terreri', 'Low', 'Long']"
"['Harpercollins', 'Donald Spoto', 'Low', 'Long']"
"['Simon &amp; Schuster', 'Larry McMurtry', 'Medium', 'Long']"
"['Penguin Putnam~childrens Hc', 'Donna Morrissey', 'Medium', 'Medium']"
"['Harpercollins', 'N. Scott Momaday', 'Low', 'Medium']"
"['Publishamerica', 'Ceil Cleveland', 'Low', 'Long']"
"['Jove Books', 'Charles H. Buck', 'Low', 'Medium']"
"['Signet Book', 'Lynn Armistead McKee', 'Low', 'Medium']"
"['Random House Trade', 'Peter Straub', 'Medium', 'Long']"
"['Random House Inc', 'Paula Huston', 'Low', 'Medium']"
"['HarperCollins Publishers', 'Armistead Maupin', 'Medium', 'Long']"
"['Random House Inc', 'Alison Lurie', 'Medium', 'Long']"
"['Henry Holt &amp; Co', 'John Knowles', 'Low', 'Long']"
"['Doubleday Books', 'Elizabeth Villars', 'Low', 'Long']"
"['St Martins Pr', 'Helen Ashfield', 'Low', 'Medium']"
"['Jove Books', 'Jayne Ann Krentz', 'Low', 'Long']"
"['Infinity Publishing.com', 'Barbara Watson', 'Low', 'Long']"
"['Buy Books on the web.com', 'Pegi Handley', 'Low', 'Long']"
"['Signet Book', 'Ellen Byerrum', 'Low', 'Medium']"
"['Back Bay Books', 'Ellen Gilchrist', 'Low', 'Medium']"
"['Consortium Book Sales &amp; Dist', 'Charlotte Perkins Gilman', 'Low', 'Long']"
"['Doubleday', 'Christina Schwarz', 'Medium', 'Long']"
"['Audioworks', 'Mary Higgins Clark', 'Medium', 'Medium']"
"['Leisure Books', 'Leigh Greenwood', 'Low', 'Long']"
"['Kensington Pub Corp (Mm)', 'Emma Merritt', 'Low', 'Long']"
"['Zebra Books', 'Jessica Wulf', 'Low', 'Long']"
"['Avon', 'Deborah Camp', 'Low', 'Long']"
"['Simon &amp; Schuster', 'Mary Higgins Clark', 'High', 'Long']"
"['Putnam Publishing Group', 'Nora Roberts', 'High', 'Long']"
"['Silhouette', 'Jenna Mills', 'Low', 'Long']"
"['Dorchester Publishing Company', 'Ann Lawrence', 'Low', 'Long']"
"['Putnam Publishing Group', 'Nora Roberts', 'High', 'Long']"
"['Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp; Co.', 'Anne West', 'Low', 'Medium']"
"['Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp; Co.', 'Nina George', 'Low', 'Long']"
"['Spectra Books', 'Connie Willis', 'Medium', 'Long']"
"['Bantam Books', 'Connie Willis', 'Medium', 'Long']"
"['Daw Books', 'Jude Fisher', 'Low', 'Long']"
"['Alfred A. Knopf', 'Debi Gliori', 'Low', 'Long']"
"['Broadview Press', 'Joseph Conrad', 'Low', 'Long']"
"['Langen/MÃ?Â¼ller', 'Thomas Feibel', 'Low', 'Medium']"
"['Warner Books Inc', 'Marcia Muller', 'Medium', 'Long']"
"['Penguin USA', 'Jonathan Gash', 'Low', 'Medium']"
"['Harpercollins', 'Lawrence Schiller', 'Low', 'Long']"
"['Delacorte Press', 'Danielle Steel', 'High', 'Long']"
"['Suhrkamp', 'Ludwig Wittgenstein', 'Low', 'Medium']"
"['Inventeam Llc', 'Judy Shasek', 'Low', 'Long']"
"['Bantam Books', 'Jerome F. Smith', 'Low', 'Medium']"
"['Avon', 'Johanna Lindsey', 'Low', 'Long']"
"['Eos', 'Ann Marston', 'Low', 'Short']"
"['Eos', 'Ann Marston', 'Low', 'Long']"
"['Baen Books', 'Aaron Allston', 'Low', 'Medium']"
"['Not Avail', 'Elizabeth George', 'Low', 'Long']"
"['West End Press', 'Nellie Wong', 'Low', 'Medium']"
"['Bantam Dell Pub Group', 'Tom Robbins', 'Medium', 'Medium']"
"['Kitchen Table--Women of Color Press', 'Hisaye Yamamoto', 'Low', 'Short']"
"['Pub Group West', 'Darcey Steinke', 'Medium', 'Long']"
"['Eakin Press', 'Liz Carpenter', 'Low', 'Long']"
"['Aims Intl Books', 'Christiane Collange', 'Low', 'Long']"
"['For Dummies', 'Fran Wenograd Golden', 'Low', 'Long']"
"['Octagon Press, Limited', 'Idries Shah', 'Low', 'Long']"
"['btb', 'Anna Malyschewa', 'Low', 'Medium']"
"['Putnam Publishing Group', 'Frank Muir', 'Low', 'Long']"
"['Consumers Union U.S.', 'Michael C. Thomsett', 'Low', 'Long']"
"['Gallimard', 'Ferdinando Camon', 'Low', 'Long']"
"['SynergEbooks', 'Andre West', 'Low', 'Long']"
"['Rowohlt Tb.', 'Petra Oelker', 'Low', 'Long']"
"['Andrews McMeel Publishing', 'Lisa Birnbach', 'Low', 'Long']"
"['St Martins Pr', 'Charles Reichblum', 'Low', 'Medium']"
"['Love Spell', 'Garthia Anderson', 'Low', 'Medium']"
"['Scholastic', 'Dav Pilkey', 'High', 'Long']"
"['Ballantine Books', 'Barbara Hambly', 'Low', 'Short']"
"['Peachpit Press', 'Lawrence J. Magid', 'Low', 'Short']"
"['Heyne', 'Arthur C. Clarke', 'Low', 'Long']"
"['Baen', 'Lois McMaster Bujold', 'Medium', 'Long']"
"['Bantam Books', 'Ovid Demaris', 'Low', 'Long']"
"['V. Gollancz', 'Terry Pratchett', 'High', 'Short']"
"['Tokyopop', 'Clamp', 'Low', 'Long']"
"['Thomas Allen &amp; Son', 'Larissa Lai', 'Low', 'Long']"
"['Harper Mass Market Paperbacks (Mm)', 'Patricia D. Benke', 'Low', 'Long']"
"['Time Warner Audio Major', 'Nicholas Sparks', 'High', 'Long']"
"['Random House Audio Publishing Group', 'Iris Johansen', 'Low', 'Short']"
"['Hyperion', 'Ridley Pearson', 'High', 'Long']"
"['Anchor', 'Chitra Banerjee Divakaruni', 'Low', 'Long']"
"['Warner Books', 'Nicholas Sparks', 'Medium', 'Long']"
"['Time Warner Audio Major', 'Nicholas Sparks', 'Medium', 'Long']"
"['Grove/Atlantic', 'Leif Enger', 'Medium', 'Long']"
"['Doubleday Books', 'Chuck Palahniuk', 'High', 'Long']"
"['Time Warner Audio Major', 'David Baldacci', 'High', 'Medium']"
"['Putnam Pub Group', 'Dick Francis', 'High', 'Medium']"
"['Dell Publishing Company', 'John Grisham', 'High', 'Medium']"
"['Random House Audio', 'John Grisham', 'High', 'Long']"
"['Naval Institute Press', 'Tom Clancy', 'High', 'Long']"
"['Putnam Adult', 'Nick Hornby', 'Medium', 'Medium']"
"['Atria Books', 'Jude Deveraux', 'Low', 'Medium']"
"['Farrar Straus Giroux', 'Kirsten Bakis', 'Medium', 'Long']"
"['Bantam Dell Pub Group', 'Tom Robbins', 'Medium', 'Long']"
"[""G. P. Putnam's Sons"", 'Patricia Cornwell', 'Medium', 'Long']"
"['Seven Stories Press', 'Octavia E. Butler', 'Medium', 'Long']"
"['Harpercollins', 'Barbara Kingsolver', 'Medium', 'Long']"
"['HarperCollins Publishers', 'Patrick Robinson', 'Medium', 'Long']"
"['Bantam', 'Diane Mott Davidson', 'Low', 'Long']"
"['Simon &amp; Schuster', 'Jeffery Deaver', 'Medium', 'Long']"
"['Bantam Dell Pub Group', 'Diane Mott Davidson', 'Low', 'Long']"
"['Warner Books', 'Sandra Brown', 'High', 'Long']"
"['Pocket', 'Vicki Iovine', 'Low', 'Long']"
"['Plough Publishing House', 'Misty Bernall', 'Low', 'Medium']"
"['HarperCollins', 'Meg Cabot', 'Medium', 'Medium']"
"['MacAdam/Cage Publishing', 'Susan Vreeland', 'High', 'Long']"
"['Avon', 'Valerie Frankel', 'Medium', 'Long']"
"['Time Warner Audio Major', 'Michael Connelly', 'Medium', 'Long']"
"['Little, Brown', 'David Sedaris', 'Medium', 'Medium']"
"['Time Warner Audio Major', 'David Sedaris', 'High', 'Long']"
"['Doubleday Books', 'Michael Ende', 'Low', 'Medium']"
"['Simon &amp; Schuster', 'Jack Finney', 'Medium', 'Long']"
"['Putnam Publishing Group', 'Jack Higgins', 'Medium', 'Medium']"
"['William Morrow &amp; Company', 'Christopher Moore', 'Low', 'Long']"
"['HarperAudio', 'Christopher Moore', 'Low', 'Medium']"
"[""St. Martin's Press"", 'Diane Mott Davidson', 'Medium', 'Long']"
"['Bantam Books', 'Barbara Hambly', 'Low', 'Long']"
"['St Martins Pr', 'John Bayley', 'Medium', 'Long']"
"['Picador USA', 'John Bayley', 'Medium', 'Long']"
"['Delacorte Press', 'Rita Ciresi', 'Low', 'Medium']"
"['Random House Inc', 'Dave Barry', 'Low', 'Short']"
"['William Morrow &amp; Company', 'Joanne Harris', 'Medium', 'Long']"
"['Harpercollins Publisher', 'Joanne Harris', 'Medium', 'Medium']"
"['Atria', 'Jude Deveraux', 'Medium', 'Long']"
"['Penguin USA', 'Stephen King', 'High', 'Long']"
"['Random House Inc', 'Scott Smith', 'Medium', 'Medium']"
"[""St. Martin's Press"", 'Janet Evanovich', 'Low', 'Long']"
"['Del Rey Books', 'Piers Anthony', 'Medium', 'Short']"
"['Kensington Publishing Corporation', 'Fern Michaels', 'Low', 'Medium']"
"['Brilliance Audio', 'Fern Michaels', 'Low', 'Long']"
"['Delacorte Press', 'Nicholas Evans', 'High', 'Short']"
"['Riverhead Books', 'Peggy Payne', 'Low', 'Long']"
"['Random House Audio', 'Jane Smiley', 'Medium', 'Long']"
"['Villard Books', 'Mary Doria Russell', 'Medium', 'Medium']"
"['Viking Books', 'Stephen King', 'High', 'Long']"
"['Viking Press', 'Stephen King', 'High', 'Medium']"
"['Warner Books', 'Sandra Brown', 'High', 'Long']"
"['Putnam Publishing Group', 'Judith Kelman', 'Low', 'Long']"
"['Dell', 'Sara Paretsky', 'Medium', 'Medium']"
"['William Morrow', 'Cokie Roberts', 'Low', 'Long']"
"['Harcourt', 'Alice Walker', 'Medium', 'Long']"
"['Viking Books', 'Stephen King', 'High', 'Long']"
"['William Morrow &amp; Company', 'Sidney Sheldon', 'Medium', 'Long']"
"['Warner Books Inc', 'Sandra Brown', 'Medium', 'Medium']"
"['Bantam Books', 'Rita Mae Brown', 'Low', 'Long']"
"['St Martins Pr', 'Florence King', 'Low', 'Long']"
"['Audio Literature', 'Janet Dailey', 'Medium', 'Medium']"
"['Farrar Straus Giroux', 'Oscar Hijuelos', 'Medium', 'Medium']"
"['Viking Books', 'Carol Shields', 'High', 'Short']"
"['ReganBooks', 'Douglas Coupland', 'Medium', 'Long']"
"['HarperCollins Publishers', 'Douglas Coupland', 'Medium', 'Long']"
"['HarperCollins Publishers', 'Kyle Mills', 'Medium', 'Medium']"
"['Putnam Publishing Group', 'Bebe Moore Campbell', 'Medium', 'Long']"
"['Avon', 'Susan Elizabeth Phillips', 'Low', 'Medium']"
"['Houghton Mifflin Company', 'Pat Conroy', 'Medium', 'Long']"
"['Putnam Pub Group', 'Stephen King', 'High', 'Long']"
"['Putnam Pub Group', 'Dan Simmons', 'Medium', 'Long']"
"['William Morrow &amp; Company', 'Johanna Lindsey', 'Medium', 'Long']"
