ISBN,Publisher,Book_Title,Book_Author,First_Publish_Year,Edition_Count,Book_Age,Edition_Count_Category,Total_Reviews,No_of_Pages,Book_Length_Category,Popularity_Score,Book_Price,Bestseller
0399144137,Putnam Publishing Group,Rainbow Six,Tom Clancy,1998,25,27,High,144,636,Long,96.4,47.8,1
0743436741,Pocket Star,The Lions of Lucerne,Brad Thor,2002,4,23,Low,469,921,Long,283.0,60.05,1
0312186754,St Martins Pr,An Arrow's Flight,Mark Merlis,1998,3,27,Low,215,263,Medium,130.2,23.15,1
1558850481,Arte Publico Press,Zoot Suit and Other Plays,Luis Valdez,1992,1,33,Low,342,194,Short,205.6,21.700000000000003,1
0399141146,Putnam Pub Group,The Hundred Secret Senses,Amy Tan,1995,28,30,High,294,881,Long,187.6,50.05,1
0811816583,Chronicle Books Llc,New York Dogs,Andrea Mohin,1997,1,28,Low,630,435,Medium,378.4,39.75,1
1588512681,Publishamerica,Demonlands,Anthony M. Fauglid,2001,1,24,Low,511,921,Long,306.99999999999994,60.05,1
0136714897,Prentice Hall Art,Quotations from Women on Life,Rosalie Maggio,1997,1,28,Low,720,337,Medium,432.4,36.85,1
3462029916,"Kiepenheuer &amp; Witsch GmbH &amp; Co. KG, Verlag",Wie Ich Einmal Die Welt Rettete (Beck-Texte Im Dtv),Ahne,2001,1,24,Low,155,535,Long,93.4,36.75,1
344242979X,Goldmann,Dunkles Leuchten.,David L. Lindsey,1996,1,29,Low,342,636,Long,205.6,49.8,1
0671876937,Baen,Master of Many Treasures,Mary Brown,1995,1,29,Low,22,226,Medium,13.2,11.3,0
0671876015,Baen,Pigs Don't Fly,Mary Brown,1994,2,31,Low,780,679,Long,468.8,53.95,1
0967224918,Teri Woods Publishing,B-More Careful,Shannon Holmes,2001,3,24,Low,392,272,Medium,236.4,27.6,1
3492215416,Piper,Champagner und Kamillentee.,Franziska Stalmann,1992,4,31,Low,137,144,Short,83.8,11.2,0
3746618959,Aufbau Tb,Sommer Ende Zwanzig.,Claudio Paglieri,2003,1,22,Low,390,899,Long,234.4,54.95,1
3257228449,Diogenes Verlag,Der kugelrunde Roberto.,Susanna Tamaro,1995,1,30,Low,340,227,Medium,204.4,19.35,1
0151104506,Harcourt,Bailey's Cafe,Gloria Naylor,1992,14,33,Medium,792,752,Long,480.8,53.6,1
0671003518,Pocket,The BRIDE - PROMOTIONAL,Julie Garwood,1996,1,29,Low,846,945,Long,508.0,65.25,1
0515114693,Jove Books,Born in Fire,Nora Roberts,1994,36,31,High,432,631,Long,273.6,49.55,1
0718143043,Michael Joseph,The Safe House,Nicci French,1998,4,27,Low,252,757,Long,152.79999999999998,49.85,1
0399147101,G. P. Putnam's Sons,Potshot,Robert B. Parker,2001,4,24,Low,224,927,Long,136.0,60.35,1
8432227587,Planeta Pub Corp,UN Reparti De Asesinos,Sidney D. Kirkpatrick,2003,1,22,Low,133,546,Long,80.2,41.3,1
0349109931,Little Brown and Company,Land Girls: Film Tie-In,Angela Huth,1998,1,27,Low,702,489,Medium,421.6,42.45,1
8466301151,Punto de Lectura,"Ella, maldita alma",Manuel Rivas,2002,1,23,Low,430,771,Long,258.4,58.55,1
3499123665,Rowohlt Tb.,Die Hexen von Eastwick. Roman.,John Updike,1987,1,38,Low,95,142,Short,57.4,17.1,1
2020482363,Seuil,Sans nouvelles de Gurb,Eduardo Mendoza,2001,1,24,Low,196,353,Medium,118.0,31.65,1
052594527X,Dutton Books,Girl With a Pearl Earring,Tracy Chevalier,1999,47,26,High,670,229,Medium,420.8,31.450000000000003,1
0316158720,Little Brown &amp; Co,The Archivist,Martha Cooley,1998,8,27,Medium,546,762,Long,330.79999999999995,52.1,1
059042761X,Scholastic Paperbacks (Mm),Wednesday Witch,Ruth Chew,1969,3,58,Low,177,545,Long,107.4,47.25,1
0694013226,HarperFestival,What to Expect When You Use the Potty (What to Expect Kids),Heidi Murkoff,2000,1,25,Low,225,386,Medium,135.4,37.3,1
0671034065,Atria,Mr. Perfect,Linda Howard,2000,7,25,Medium,132,616,Long,82.0,38.8,1
074350061X,Simon &amp; Schuster Audio,Mr. Perfect,Linda Howard,2000,7,25,Medium,712,566,Long,430.0,44.3,1
0787113522,Audio Literature,The Cat Who Tailed a Thief,Lilian Jackson Braun,1997,1,30,Low,13,468,Medium,8.2,23.4,0
0684836483,Fireside,250 Things You Can Do to Make Your Cat Adore You,Ingrid Newkirk,1998,2,27,Low,413,789,Long,248.6,53.45,1
0060219440,HarperCollins,Julie of the Wolves (Julie of the Wolves),Jean Craighead George,1972,61,53,High,378,155,Short,251.2,25.75,1
0060219432,HarperCollins,Julie of the Wolves (Julie of the Wolves),Jean Craighead George,1972,61,53,High,378,562,Long,251.2,46.1,1
1904095399,"Short Books, London",Who Was Dr.Charlotte Bach?,Francis Wheen,2002,1,23,Low,300,182,Short,180.4,19.1,1
0877958920,Arbor House Pub Co,She Who Remembers,Linda Lay Shuler,1988,5,35,Low,427,449,Medium,258.2,32.45,1
0812520793,Tor Books (Mm),Throne of Isis,Judith Tarr,1995,4,30,Low,252,289,Medium,152.79999999999998,26.450000000000003,1
0312109393,St Martins Pr,The Bette Davis Murder Case,George Baxt,1994,2,31,Low,343,593,Long,206.6,43.650000000000006,1
0399148019,G. P. Putnam's Sons,The Absence of Nectar,Kathy Hepinstall,2001,4,24,Low,249,982,Long,151.0,55.1,1
8807014467,Feltrinelli,La Compagnia,Benni,1993,1,32,Low,416,362,Medium,250.0,34.1,1
3499262967,Wunderlich im Rowohlt,Die Teebarone.,Hella S. Haasse,2001,1,24,Low,212,179,Short,127.6,16.950000000000003,1
3407808836,Beltz,Jedes Sandkorn ist ein Buchstabe,Arnulf Zitelmann,2002,1,23,Low,76,499,Medium,46.0,28.950000000000003,1
3423085711,Dtv,"Catherine, Lady wider Willen. Sonderausgabe.",Karen Cushman,2002,1,23,Low,110,863,Long,66.4,53.150000000000006,1
059048575X,Scholastic Paperbacks (Mm),101 Telephone Jokes,Katy Hall,1994,4,29,Low,430,372,Medium,259.6,32.6,1
1561565601,Kids Books Inc,Sabrina: Behind the Scenes,Stefanie Scott,1997,1,30,Low,28,444,Medium,16.8,22.200000000000003,0
1558744630,Health Communications,Chicken Soup for the Teenage Soul (Chicken Soup for the Soul),Jack Canfield,1997,1,28,Low,280,479,Medium,168.4,39.95,1
0670873683,Penguin USA,London Holiday,Richard Peck,1998,2,27,Low,616,223,Medium,370.4,27.15,1
1589880013,Paul Dry Books,The Verb To Bird,Peter Cashwell,2003,1,21,Low,489,489,Medium,293.79999999999995,38.45,1
0375404929,Alfred A. Knopf,For the Relief of Unbearable Urges,Nathan Englander,1999,5,26,Low,420,330,Medium,254.0,26.5,1
0446674109,Warner Books,The Angry Clam,Erik Quisling,1998,1,27,Low,490,584,Long,294.4,39.2,1
0684810387,Simon &amp; Schuster,MOONLIGHT BECOMES YOU,Mary Higgins Clark,1996,21,29,High,584,618,Long,358.79999999999995,46.900000000000006,1
0380709333,Avon,The Art of Living Single,Michael Broder,1990,3,34,Low,16,212,Medium,10.8,10.6,0
9510236756,W. SÃ¶derstrÃ¶m,Minun sukuni tarina,Jari Tervo,1999,1,26,Low,225,191,Short,135.4,19.55,1
0553106678,Bantam,The Matarese Countdown,Robert Ludlum,1997,9,28,Medium,264,554,Long,162.0,43.7,1
0525946241,Dutton Books,Picture Maker,Penina Keen Spinka,2002,4,23,Low,288,840,Long,174.39999999999998,60.0,1
2221081722,R. Laffont,Le scaphandre et le papillon,Jean-Dominique Bauby,1997,5,28,Low,568,697,Long,342.8,50.85,1
0805060200,Henry Holt &amp; Company,Boy in the Water,Stephen Dobyns,1999,6,26,Medium,147,609,Long,90.6,44.45,1
0060092963,Avon,Adventures of a Scottish Heiress,Cathy Maxwell,2003,4,22,Low,784,830,Long,472.0,57.5,1
0380760975,Harper Mass Market Paperbacks (Mm),Tombley's Walk,Crosland Brown,1991,2,36,Low,34,861,Long,21.2,43.05,0
0804111898,Ivy Books,Uh-Oh: Some Observations from Both Sides of the Refrigerator Door,Robert Fulghum,1993,2,32,Low,784,760,Long,471.2,54.0,1
0312865031,St Martins Pr,Gravelight,Marion Zimmer Bradley,1997,4,28,Low,154,570,Long,94.0,42.5,1
0670220264,Viking Books,Christine,Stephen King,1983,63,42,High,210,164,Short,151.2,28.200000000000003,1
555053150X,Viking Books,Christine,Stephen King,1983,63,42,High,765,341,Medium,484.2,35.05,1
1579542085,Rodale Press,Pets' Letters to God,Mark Bricklin,1999,2,26,Low,720,312,Medium,432.8,33.6,1
3404122631,LÃ?Â¼bbe,Sonnenfeuer. Der grosse Australienroman.,Patricia Shaw,1995,1,30,Low,366,272,Medium,220.0,25.6,1
0380803151,Eos (HarperCollins),Avalanche Soldier,Susan R. Matthews,1999,1,26,Low,160,867,Long,96.4,53.35,1
0451205294,Signet Book,Fatal Care,Leonard Goldberg,2001,2,24,Low,462,728,Long,278.0,50.4,1
0446527785,Warner Books,A Bend in the Road,Nicholas Sparks,2001,11,24,Medium,384,893,Long,234.8,60.650000000000006,1
1586211781,Time Warner Audio Major,A Bend in the Road,Nicholas Sparks,2001,11,24,Medium,510,807,Long,310.4,60.35,1
0613325419,Sagebrush Bound,Fantastic Beasts and Where to Find Them,J. K. Rowling,2001,39,24,High,1,881,Long,16.200000000000003,44.05,0
0439321611,Scholastic Paperbacks,Fantastic Beasts and Where to Find Them,J. K. Rowling,2001,40,24,High,440,693,Long,280.0,54.65,1
0439321603,Scholastic Paperbacks,Fantastic Beasts and Where to Find Them,J. K. Rowling,2001,40,24,High,960,843,Long,592.0,62.150000000000006,1
0836218353,Andrews McMeel Publishing,Yukon Ho!,Bill Watterson,1989,6,35,Medium,280,884,Long,170.4,64.2,1
2842772032,Editions du ChÃ?Âªne,Paysages de Bretagne,Philip Plisson,1999,1,26,Low,850,832,Long,510.4,61.6,1
0836217225,Andrews McMeel Publishing,Revelations From A 45-Pound Purse,Cathy Guisewite,1993,2,32,Low,144,535,Long,87.19999999999999,42.75,1
042515517X,Berkley Publishing Group,Year of the Tiger,Jack Higgins,1996,7,31,Medium,18,453,Medium,13.6,22.65,0
0842343253,Tyndale House Publishers,Nicolae High (Left Behind: The Kids #5),Jerry B. Jenkins,1999,1,28,Low,3,245,Medium,1.7999999999999998,12.25,0
0505522675,Love Spell,Believe (Heartspell),Victoria Alexander,1998,1,27,Low,450,524,Long,270.4,38.2,1
0515124656,Jove Books,Lady Moonlight (Magical Love),Kate Freiman,1999,1,26,Low,84,228,Medium,50.8,23.4,1
0373484003,Silhouette,Irish Hearts,Nora Roberts,2000,11,25,Medium,266,229,Medium,164.0,25.450000000000003,1
0553575007,Bantam Books,Touch of Enchantment,Teresa Medeiros,1997,5,28,Low,282,659,Long,171.2,44.95,1
0553563343,Bantam Books,Breath of Magic,Teresa Medeiros,1996,1,29,Low,552,128,Short,331.6,18.4,1
067146969X,Pocket,DAWNFIRE,Lynn Erickson,1984,1,41,Low,740,109,Short,444.4,25.45,1
0671016792,Simon Spotlight Entertainment,SKATING FOR THE GOLD,Chip Lovitt,1997,6,29,Medium,288,317,Medium,175.2,23.85,1
0842372180,Tyndale Kids,The Topsy-Turvy Kingdom,Dottie McDowell,1996,1,29,Low,882,888,Long,529.5999999999999,62.400000000000006,1
0066211085,William Morrow &amp; Company,Rebecca's Tale,Sally Beauman,2001,21,24,High,432,383,Medium,267.6,35.150000000000006,1
1551113074,Broadview Press,Heart of Darkness (Broadview Literary Texts),Joseph Conrad,1999,2,26,Low,65,814,Long,39.8,50.7,1
1929317999,Coconut Info,Sailing the Dream,John F. McGrady,1999,1,26,Low,450,858,Long,270.4,62.900000000000006,1
0340165634,Hodder and Stoughton,Nethergate,Norah Lofts,1973,7,52,Medium,400,875,Long,242.8,63.75,1
0385336179,Delta,Shopaholic Ties the Knot,Sophie Kinsella,2003,5,22,Low,567,178,Short,342.2,26.9,1
0590424165,Scholastic Paperbacks,Sideways Arithmetic from Wayside School,Louis Sachar,1989,10,37,Medium,661,964,Long,400.6,64.2,1
8401541034,"Plaza &amp; Janes Editores, S.A.",La fuente del unicornio,Theodore Sturgeon,1999,1,26,Low,280,566,Long,168.4,48.3,1
156512104X,Algonquin Books of Chapel Hill,Right from Wrong,Cindy Bonner,1999,2,26,Low,432,680,Long,260.0,52.0,1
1892065169,Meisha Merlin Pub,Kirith Kirin,Jim Grimsley,2000,1,25,Low,608,515,Long,365.2,41.75,1
0679417796,Random House,The Alienist,Caleb Carr,1994,47,31,High,439,527,Long,282.2,44.35,1
075285111X,Orion,A Question of Blood,Ian Rankin,2003,10,22,Medium,106,154,Short,67.6,19.7,0
186941358X,Random House Uk Ltd,It Helps When You Take the Brake Off,Renee,1998,1,27,Low,469,200,Medium,281.79999999999995,24.0,1
0060199652,HarperCollins,Prodigal Summer,Barbara Kingsolver,2000,12,25,Medium,290,107,Short,178.8,25.35,1
0694524379,HarperAudio,Prodigal Summer,Barbara Kingsolver,2000,10,24,Medium,17,894,Long,14.2,44.7,0
0312283709,St. Martin's Press,Running with Scissors,Augusten Burroughs,2002,19,25,Medium,335,598,Long,208.6,45.900000000000006,1
1570426384,Time Warner Audio Major,The Simple Truth,David Baldacci,1998,49,28,High,13,767,Long,27.4,38.35,0
1570426201,Time Warner Audio Major,The Simple Truth,David Baldacci,1998,51,27,High,504,534,Long,322.79999999999995,40.7,1
0595256775,Writer's Showcase Press,Scooter and the Galactic Starship,Douglas R. Robinson,2002,3,23,Low,320,511,Long,193.2,45.55,1
0741412780,Infinity Publishing (PA),The Great Pretender,Millenia Black,2002,7,23,Medium,520,582,Long,314.8,45.1,1
0836135474,Herald Press (PA),Beyond the Golden Hills and Other Stories,Anne L. Squire-Buresh,1991,1,34,Low,336,763,Long,202.0,54.15,1
8488471009,Virus,Viva el mal! Viva el capital!,Santiago Alba Rico,1992,1,33,Low,470,116,Short,282.4,25.8,1
8428210675,Omega,Cultivo de Plantas Medicinales Aromaticas y Condimenticias,Fernandez,1997,1,28,Low,150,744,Long,90.4,57.2,1
8408020137,"Editorial Planeta, S.A. (Barcelona)",Mujercismas,Terenci Moix,1998,1,27,Low,318,376,Medium,191.2,30.8,1
0312858957,Tor Books,The Blind Mirror,Christopher Pike,2003,6,22,Medium,32,937,Long,21.6,46.85,0
0671039288,Simon Spotlight Entertainment,Sins of the Father (Buffy the Vampire Slayer),Christopher Golden,1999,2,26,Low,630,327,Medium,378.8,34.35,1
0671526103,Pocket Books,The Return (Star Trek),William Shatner,1996,6,29,Medium,336,750,Long,204.0,49.5,1
0671008781,Star Trek,Spectre (Star Trek),William Shatner,1998,7,27,Medium,180,535,Long,110.8,38.75,1
3440066738,Franckh-Kosmos Verlag,Traumberufe rund ums Pferd.,Ria Fehlau,1993,1,31,Low,270,707,Long,162.0,55.35,1
0312983298,St. Martin's Paperbacks,Full Speed (Janet Evanovich's Full Series),Janet Evanovich,2003,1,22,Low,198,590,Long,119.2,35.5,1
0312980345,St. Martin's Paperbacks,Second Thyme Around,Katie Fforde,2002,2,23,Low,392,360,Medium,236.0,32.0,1
0688009387,Greenwillow,The Blue Sword,Robin McKinley,1982,30,43,High,580,872,Long,360.0,63.6,1
0140346031,Puffin Books,Knights of the Kitchen Table (Time Warp Trio),Jon Scieszka,1994,1,31,Low,255,495,Medium,152.6,44.75,1
0571097103,Faber &amp; Faber,Whitsun Weddings,Philip Larkin,1964,11,61,Medium,168,451,Medium,105.2,36.55,1
0684829975,Simon &amp; Schuster,The Vision of Emma Blau,Ursula Hegi,2000,8,25,Medium,280,619,Long,171.2,44.95,1
0671578103,Baen,Dragonne's Eg,Mary Brown,1999,1,26,Low,60,419,Medium,36.4,32.95,1
0688175716,William Morrow,Strange but True,John Searles,2004,6,21,Medium,576,467,Medium,347.99999999999994,35.35,1
8432210900,Editorial Seix Barral,La Aventura del Tocador de Senoras,Eduardo Mendoza,2001,3,25,Low,31,466,Medium,19.8,23.3,0
0671318403,Baen,The Legend That Was Earth,James P. Hogan,2001,2,25,Low,9,332,Medium,6.199999999999999,16.6,0
0743480562,Pocket Star,"CSI, Miami: Heat Wave",Max Allan Collins,2004,1,21,Low,150,867,Long,90.4,55.35,1
0399147020,G. P. Putnam's Sons,Blood Lure,Nevada Barr,2001,8,24,Medium,360,481,Medium,219.2,40.05,1
0788749749,Recorded Books,Blood Lure,Nevada Barr,2001,7,23,Medium,673,925,Long,406.6,60.25,1
0440241162,Dell Publishing Company,Nerd in Shining Armor,Vicki Lewis Thompson,2003,1,22,Low,136,689,Long,82.0,50.45,1
1930353006,Masthof Pr,The Toy Factory (Sammy and Brian Mystery),Ken Munro,2000,1,25,Low,536,716,Long,321.99999999999994,51.8,1
0688156819,HarperEntertainment,The Melancholy Death of Oyster Boy : and Other Stories,Tim Burton,1997,1,28,Low,500,218,Medium,300.4,30.9,1
0385497091,Anchor Books/Doubleday,Thumbsucker,Walter Kirn,1999,3,26,Low,365,289,Medium,220.2,24.450000000000003,1
0375421726,Pantheon Books,Nigger - The Strange Career of a Troublesome Word,Randall Kennedy,2002,1,23,Low,432,469,Medium,259.6,35.45,1
1891053426,Garrett County Press,Best of Temp Slave,Jeff Kelly,1997,1,28,Low,104,877,Long,62.8,51.85,1
0765347415,Tor Books,Terminator 3: Rise of the Machines,David Hagberg,2003,1,22,Low,210,775,Long,126.4,48.75,1
0920109020,Deadwood Pub Ltd,Alone in the Australian Outback,Gladys Taylor,1984,1,41,Low,688,958,Long,413.2,63.900000000000006,1
156955028X,Servant Publications,All You Really Need to Know about Prayer You Can Learn from the Poor,Louise Perrotta,1996,1,29,Low,228,587,Long,137.2,41.35,1
0679411267,Random House Inc,The End of the Pier,Martha Grimes,1992,18,33,Medium,220,869,Long,139.2,63.45,1
0374129983,Farrar Straus &amp; Giroux,The Corrections,Jonathan Franzen,2001,48,23,High,34,480,Medium,39.6,24.0,0
0312032978,St Martins Pr,Brighten the Corner Where You Are,Fred Chappell,1989,4,36,Low,455,259,Medium,274.6,22.950000000000003,1
0385318782,Dell,Talk Before Sleep,Elizabeth Berg,1997,10,28,Medium,448,387,Medium,272.8,35.35,1
1588515281,Publishamerica,Heir to Betrayal,Larry Kirk,2001,1,24,Low,306,387,Medium,184.0,37.35,1
0745321992,PLUTO PRESS,Regime Unchanged,Milan Rai,2003,1,22,Low,675,991,Long,405.4,67.55000000000001,1
0802116175,Pub Group West,Great Apes,Will Self,1997,2,28,Low,390,622,Long,234.8,43.1,1
0785281754,Nelson Books,The Successful Homeschool Family Handbook,Raymond S. Moore,1994,1,31,Low,336,372,Medium,202.0,34.6,1
0399151435,Putnam Publishing Group,A Death in Vienna,Daniel Silva,2004,3,21,Low,370,501,Long,223.2,35.05,1
0345402405,Del Rey Books,"Upsetting the Balance (Worldwar Series, Volume 3)",Harry Turtledove,1996,5,29,Low,470,926,Long,284.0,56.3,1
0786884460,Hyperion,The Ice Master : The Doomed 1913 Voyage of the Karluk,Jennifer Niven,2001,1,24,Low,570,889,Long,342.4,56.45,1
0441005152,Ace Books,Scales of Justice (Return of the Dragon Fanuilh),Daniel Hood,1998,1,28,Low,439,468,Medium,263.0,35.400000000000006,1
0373292945,Harlequin,The Wedding Knight,Joanne Rock,2004,1,21,Low,430,387,Medium,258.4,29.35,1
0399133186,Putnam Pub Group,Mortal Fear,Robin Cook,1988,13,37,Medium,378,534,Long,232.0,44.7,1
0451404300,Onyx Books,The Dividing Line (Joshua Rabb Novels),Richard Parrish,1994,1,31,Low,70,785,Long,42.4,53.25,1
006019541X,HarperCollins Publishers,Blue Angel,Francine Prose,2000,6,25,Medium,192,987,Long,117.6,55.35,1
0553247379,Bantam,The Mother Hunt (Rex Stout Library),Rex Stout,1993,1,32,Low,112,730,Long,67.60000000000001,52.5,1
0811828964,Chronicle Books,The Bad Girl's Guide to Getting What You Want,Cameron Tuttle,2000,1,25,Low,84,138,Short,50.8,20.9,1
0684841185,Scribner,Death du Jour,Kathy Reichs,1999,19,26,Medium,558,596,Long,342.40000000000003,47.8,1
0399146687,Putnam Publishing Group,Perish Twice,Robert B. Parker,2000,5,25,Low,224,879,Long,136.4,57.95,1
0316693286,Replica Books,Pop Goes the Weasel,James Patterson,1999,32,24,High,294,291,Medium,189.2,22.55,1
1570427143,Time Warner Audio Major,Pop Goes the Weasel,James Patterson,1999,33,26,High,368,629,Long,234.0,47.45,1
1570427135,Time Warner Audio Major,Pop Goes the Weasel,James Patterson,1999,33,26,High,747,248,Medium,461.4,30.4,1
0399146237,Putnam Publishing Group,Running Blind,Lee Child,2000,24,25,High,498,496,Medium,308.40000000000003,36.8,1
0373250126,Harlequin,Milkrun,Sarah Mlynowski,2001,10,24,Medium,736,760,Long,445.6,54.0,1
0060723890,Regan Books,The Other Man: A Love Story,Michael Bergin,2004,1,21,Low,156,737,Long,94.0,48.85,1
0758204930,STRAPLESS,Life a la Mode,Linda Lenhoff,2003,1,22,Low,752,401,Medium,451.6,36.05,1
3442727367,Btb Bei Goldmann,Katalog von Allem. 1111 Nummern aus 31 Jahren.,Peter K. Wehrli,2000,1,25,Low,34,726,Long,20.0,36.3,0
0002258579,Harpercollins Uk,Resurrection Club,Christopher Wallace,1999,4,26,Low,516,835,Long,311.2,53.75,1
0735700737,Cisco Press,CCNA Exam Certification Guide (CCNA Exam 640-407),Wendell Odom,1999,1,26,Low,65,302,Medium,39.4,25.1,1
3596154766,"Fischer (Tb.), Frankfurt",Silberfaden.,Ricarda Junge,2002,1,23,Low,82,761,Long,49.6,42.05,1
8478082395,Sirio,Los Diez Secretos Del Amor Abundante,Adam J. Jackson,2001,1,24,Low,432,633,Long,259.6,49.650000000000006,1
1552633217,Key Porter Books,The Jasmine Man,Lola Lemire Tostevin,2001,1,24,Low,175,959,Long,105.4,57.95,1
0373451911,Silhouette,For Old Times Sake (Men: Made In America) (Men Made in America),Kathleen Eagle,1995,1,30,Low,210,640,Long,126.4,52.0,1
0816513333,University of Arizona Press,New Chicana/Chicano Writing 2,Charles M. Tatum,1992,4,35,Low,31,529,Long,20.2,26.450000000000003,0
8432227692,Planeta Pub Corp,Malas Artes,Donna Leon,2003,2,22,Low,396,382,Medium,238.4,31.1,1
3492229891,Piper,Mazel Tov in Las Vegas. Ein Hochzeitsroman.,Holly-Jane Rahlens,2000,3,26,Low,127,723,Long,77.4,42.15,0
0312274971,St. Martin's Minotaur,Hardcase,Dan Simmons,2001,6,22,Medium,27,575,Long,18.6,28.75,0
0767902912,Bantam Dell Pub Group,An Equal Music,Vikram Seth,1999,7,26,Medium,528,506,Long,319.6,37.3,1
0449006379,Ivy Books,Lord of Fire,Gaelen Foley,2002,7,23,Medium,752,187,Short,454.0,25.35,1
0679445625,Random House,A Long Fatal Love Chase,Louisa May Alcott,1995,1,30,Low,525,560,Long,315.4,42.0,1
0671619373,Simon &amp; Schuster,LADY BOSS,Jackie Collins,1990,20,35,Medium,540,782,Long,332.0,57.1,1
0943734150,Ocean Tree Books,Peace Pilgrim Her Life and Work In Her Own,Peace Pilgrim,1994,1,31,Low,470,520,Long,282.4,46.0,1
074341120X,Atria,Silicon Follies,Thomas Scoville,2001,3,24,Low,584,800,Long,351.6,56.0,1
059045563X,Scholastic Paperbacks (Mm),Teeth Week,Nancy Alberts,1993,2,32,Low,376,452,Medium,226.4,38.6,1
1584790660,"Stuart, Tabori and Chang",My Cat Forgets Who Pays the Rent,Sandra Magsamen,2001,1,24,Low,590,795,Long,354.4,59.75,1
0812536509,Tor Books,Pride of Lions (Celtic World of Morgan Llywelyn),Morgan Llywelyn,1997,1,28,Low,480,118,Short,288.4,21.9,1
0812553993,Tor Books,Lion of Ireland (Celtic World of Morgan Llywelyn),Morgan Llywelyn,1996,2,29,Low,576,122,Short,346.4,22.1,1
074993087X,Judy Piatkus Publishers Ltd,The Long Midnight of Barney Thomson,Douglas Lindsay,1999,2,26,Low,282,129,Short,170.0,18.45,1
3499613425,Rowohlt Tb.,Der kleine Beziehungsberater.,Till Raether,2002,1,23,Low,704,207,Medium,422.8,26.35,1
351836605X,Suhrkamp,Stiller,Max Frisch,1954,38,71,High,390,466,Medium,249.2,43.3,1
3379017159,"Reclam, Leipzig",Manhattan fliegt.,Michael Wallner,2000,1,25,Low,630,227,Medium,378.4,25.35,1
1869928180,Charles T. Banford Company,Visual Magick,Jan Fries,1991,2,34,Low,380,210,Medium,228.8,30.5,1
073870279X,Llewellyn Publications,Astral Projection Plain &amp; Simple: The Out-Of-Body Experience,Osborne Phillips,2003,1,22,Low,130,235,Medium,78.4,31.75,1
0060688246,HarperSanFrancisco,"Severe Mercy, A",Sheldon Vanauken,1987,2,38,Low,182,755,Long,110.0,51.75,1
0769613292,Landoll,Kryptonite Chaos (Superman (Landoll)),Landoll,1999,1,26,Low,744,975,Long,446.8,64.75,1
0394578198,Random House Inc,Polar Star,Martin Cruz Smith,1989,25,36,High,301,548,Long,190.6,41.400000000000006,1
1864501235,Lonely Planet Publications,"Lonely Planet Madrid (Madrid, 1st ed)",Damien Simonis,2000,1,25,Low,675,582,Long,405.4,47.1,1
2277229938,Distribooks Inc,Les Nuits Fauves/Savage Nights,Collard,1994,3,29,Low,13,307,Medium,9.0,15.35,0
2253044911,LGF,"Les Dames du lac, tome 1",Marion Zimmer Bradley,1988,1,37,Low,416,931,Long,250.0,62.55,1
1586480499,PublicAffairs,War Is a Force That Gives Us Meaning,Chris Hedges,2002,8,23,Medium,420,973,Long,255.2,58.650000000000006,1
0440241073,Dell Publishing Company,The Summons,John Grisham,2002,55,23,High,288,965,Long,194.8,66.25,1
0375431977,Random House Large Print Publishing,The Summons,John Grisham,2002,55,23,High,356,572,Long,235.6,36.6,1
0679404856,Random House Inc,Dave Barry Does Japan,Dave Barry,1992,10,33,Medium,672,109,Short,407.2,21.45,1
0895551950,T A N Books &amp; Publishers,Saint Dominic (Cross and Crown Series of Spirituality),Mary Dorcy,1982,1,43,Low,136,995,Long,82.0,65.75,1
0812550897,Tor Books (Mm),"The Wandering Arm (Catherine Levendevr Mystery Series , Vol 3)",Sharan Newman,1996,1,28,Low,76,387,Medium,45.2,33.35,0
0810934302,Harry N Abrams,Maps and Mapmakers of the Civil War,Earl B. McElfresh,1999,2,26,Low,104,330,Medium,63.2,32.5,1
0884042871,Bridge Publications,"Death Quest (Mission Earth Series, Vol 6)",L. Ron Hubbard,1987,1,38,Low,520,830,Long,312.4,57.5,1
0884042847,Bridge Publications,"The Enemy Within (Mission Earth, Vol 3)",L. Ron Hubbard,1988,1,37,Low,272,165,Short,163.6,24.25,1
096788330X,Jonlin Books,Duncan Delaney and the Cadillac of Doom,A. L. Haskett,2000,1,25,Low,684,112,Short,410.8,23.6,1
3442441080,Goldmann,Im Angesicht des Feindes.,Elizabeth George,1998,2,27,Low,360,492,Medium,216.8,44.6,1
0671015842,Simon &amp; Schuster (Trade Division),Mr. Macgregor,Alan Titchmarsh,1999,9,27,Medium,13,677,Long,11.4,33.85,0
0871136791,Atlantic Monthly Press,Cold Mountain,Charles Frazier,1997,16,28,Medium,728,308,Medium,443.2,31.4,1
0517881004,Crown Publishing Group (NY),The Vampire Encyclopedia,Matthew Bunson,1993,3,32,Low,510,113,Short,307.2,25.65,1
0449148238,Fawcett Books,Buried Lives,Nancy Star,1993,3,32,Low,150,536,Long,91.2,36.8,1
0345372433,Ballantine Books,The Good Husband,Gail Godwin,1994,7,31,Medium,2,901,Long,4.0,45.05,0
0689800843,Simon &amp; Schuster Children's Publishing,Running Out of Time,Margaret Peterson Haddix,1995,5,30,Low,430,923,Long,260.0,66.15,1
0689311001,Atheneum,BABY SITTING IS A DANGEROUS JOB,Willo Davis Roberts,1985,6,40,Medium,522,310,Medium,315.6,33.5,1
0316782262,"Little, Brown",All He Ever Wanted,Anita Shreve,2003,18,22,Medium,594,797,Long,363.6,51.85,1
