Title,Author,Subjects,First Publish Year,Edition Count,ISBN
The Macgregors: Serena - Caine (The Macgregors),Not Found,Not Found,,,
The House of Mirth,Edith Wharton,,1905.0,684.0,
LA Mujer Habitada,"Gioconda Belli, Geralldy Najera",,2018.0,2.0,
Las Chicas Buenas No Toman Postre,Not Found,Not Found,,,
Moments of Being: Second Edition,Not Found,Not Found,,,
El actor y los demÃ¡s (Laia/literatura),Not Found,Not Found,,,
Anorexia y Bulimia - Trastornos Alimentarios,Rosa María Raich Escursell,,2011.0,1.0,
"Maestro y Margarita, El",Not Found,Not Found,,,
Berlin Alexanderplatz,Alfred Döblin,,1929.0,68.0,
Depardieu,Paul Chutkow,,1994.0,6.0,
One Door Away from Heaven,Dean Koontz,,2001.0,29.0,
"Winesburg, Ohio (Dover Thrift Editions)",Not Found,Not Found,,,
"The TV Guide Book of Lists : Revealing Facts, Fascinating Fads, and Strange Phenomena from 50 Years of Television",Not Found,Not Found,,,
How the Garcia Girls Lost Their Accents (Plume Contemporary Fiction),Not Found,Not Found,,,
Adventures of Tom Sawyer,Mark Twain,,1817.0,879.0,
Superfudge,Judy Blume,,1972.0,69.0,
She's Come Undone,Wally Lamb,,1992.0,10.0,
The Bridges of Madison County,"Robert James Waller, Robert James Waller",,1992.0,37.0,
Confessions of a Failed Southern Lady,Florence King,,1985.0,5.0,
Nineteen Eighty-Four,George Orwell,,1949.0,431.0,
Midnight Lady,Cassandra Clare,,2016.0,3.0,
Love's Encore,Sandra Brown,,1981.0,17.0,
The Devil's Banker,Christopher Reich,,2003.0,5.0,
Manhattan Memoir,Mary Cantwell,,2000.0,1.0,
"Word Freak: Heartbreak, Triumph, Genius, and Obsession in the World of Competitive Scrabble Players",Not Found,Not Found,,,
Curse of the Giant Muffins and Other Washington Maladies,Not Found,Not Found,,,
Shallows of Night,Eric Van Lustbader,,1978.0,10.0,
Peace Agitator: Story of A. J. Muste,Nat Hentoff,,1963.0,1.0,
"Wizards Don't Wear Graduation Gowns (Adventures of the Bailey School Kids, 45)",Not Found,Not Found,,,
Walking Wisely: Real Guidance For Life's Journey,Not Found,Not Found,,,
Taming Your Gremlin (Revised Edition): A Surprisingly Simple Method for Getting Out of Your Own Way,Not Found,Not Found,,,
Help! I'm a Prisoner in the Library,"Eth Clifford, Eth Clifford",,1979.0,11.0,
Harris and Me,Gary Paulsen,,1993.0,13.0,
Fog (Losing Christina),Not Found,Not Found,,,
The Mystery of the Cupboard (Indian in the Cupboard),Lynne Reid Banks,,2014.0,1.0,
I'm Not Scared,Niccolò Ammaniti,,2003.0,7.0,
The Outside Shot,Walter Dean Myers,,1984.0,6.0,
"Assassins: Assignment: Jerusalem, Target: Antichrist (Left Behind No. 6)",Not Found,Not Found,,,
The Search (Left Behind: The Kids #9),Not Found,Not Found,,,
Island of the Blue Dolphins,Scott O'Dell,,1960.0,71.0,
Death Strike (Left Behind the Kids),Not Found,Not Found,,,
Sideways Arithmetic from Wayside School,Louis Sachar,,1989.0,9.0,
Charlotte's Web,E. B. White,,1952.0,149.0,
"The Return of the King (The Lord of the Rings, Part 3)",Not Found,Not Found,,,
"Tucket's Gold (Tuckets Adventures, Book 4)",Not Found,Not Found,,,
The Hitchhiker (Point),Karen Bourlier,,1998.0,1.0,
"Lucy Forever and Miss Rosetree, Shrinks",Susan Shreve,,1987.0,3.0,
The Underground (Left Behind: The Kids #6),Jerry B. Jenkins,,2002.0,1.0,
"Busted! (Left Behind. the Kids, 7)",Not Found,Not Found,,,
George and Martha Rise and Shine,James Marshall,,1985.0,2.0,
Behind the Lines (Point),Isabelle Holland,,1997.0,2.0,
Monster (rpkg),Not Found,Not Found,,,
Five Children and It,Edith Nesbit,,1905.0,945.0,
La fuente del unicornio,Theodore Sturgeon,,1999.0,1.0,
A Gift of Hope: How We Survive Our Tragedies,Unknown,,,1.0,
Crossing to Safety: A Novel (Great Reads),Not Found,Not Found,,,
Ladder of Years,Anne Tyler,,1993.0,36.0,
Playing It by Heart: Taking Care of Yourself No Matter What,Not Found,Not Found,,,
The Heart Reader,Terri Blackstock,,2000.0,1.0,
Daughters of Memory,Janis Arnold,,1991.0,2.0,
Right from Wrong,Cindy Bonner,,1999.0,2.0,
The Bondwoman's Narrative,Hannah Crafts,,2002.0,6.0,
"Magic's Price (The Last Herald-Mage Series, Book 3)",Mercedes Lackey,,1990.0,7.0,
"Magic's Pawn (The Last Herald-Mage Series, Book 1)",Not Found,Not Found,,,
"Magic's Promise (The Last Herald-Mage Series, Book 2)",Not Found,Not Found,,,
Kirith Kirin,Jim Grimsley,,2000.0,1.0,
Dispatches from the Tenth Circle: The Best of the Onion,Not Found,Not Found,,,
Cars and Trucks and Things That Go,Richard Scarry,,1974.0,9.0,
Fifth Business (Penguin Twentieth-Century Classics),Not Found,Not Found,,,
Long Wait,Mickey Spillane,,1951.0,11.0,
A Separate Peace (Scribner Classics),Not Found,Not Found,,,
High Fidelity,Nick Hornby,,1995.0,45.0,
The Fifties,J. C. Penney,,1950.0,2.0,
How to Be a Canadian: Even If You Already are One,Not Found,Not Found,,,
"The Lion, the Fox and the Eagle",Carol Off,,2000.0,3.0,
"War and Peace: The Maude Translation, Backgrounds and Sources, Criticism (Norton Critical Editions)",Not Found,Not Found,,,
American Gods: A Novel,Whizbooks,,2018.0,1.0,
Nobody's Perfect: Selected Writings from the New Yorker,Not Found,Not Found,,,
A Confederacy of Dunces (Evergreen Book),Not Found,Not Found,,,
American Son,"Oscar De La Hoya, Steve Springer",,2008.0,6.0,
"Let's Roll: Ordinary People, Extraordinary Courage","Lisa Beamer, Ken Abraham",,2002.0,1.0,
Metamorphosis,David Kibbe,,1987.0,1.0,
The White Road,Sarah Lotz,,2017.0,5.0,
Fiddleback: A Novel,Not Found,Not Found,,,
Heart Conditions,Sara Lewis,,1994.0,3.0,
Mrs Dalloway,Virginia Woolf,,1925.0,476.0,
The Falls (Inspector Rebus S.),Not Found,Not Found,,,
Burn Marks (V.I. Warshawski Novels (Paperback)),Not Found,Not Found,,,
Resurrection Men (Inspector Rebus S.),Not Found,Not Found,,,
A Question of Blood,Ian Rankin,,2003.0,12.0,
The Cater Street Hangman,Anne Perry,,1979.0,8.0,
Gaudy Night,Dorothy L. Sayers,,1935.0,72.0,
Endangered Species (Anna Pigeon Mysteries (Paperback)),Not Found,Not Found,,,
The Virgin in the Ice (Cadfael Chronicles: 6),Not Found,Not Found,,,
The Leper of St. Giles,Edith Pargeter,,1999.0,1.0,
It Helps When You Take the Brake Off,Renee,,1998.0,1.0,
The Legend of Nightfall (Daw Book Collectors),Not Found,Not Found,,,
Belarus,David Marples,,1999.0,7.0,
Prodigal Summer,Barbara Kingsolver,,2000.0,12.0,
Germs : Biological Weapons and America's Secret War,Not Found,Not Found,,,
Man's Search for Ultimate Meaning,Viktor E. Frankl,,1997.0,11.0,
A Short History of a Small Place: A Novel,Not Found,Not Found,,,
White Oleander : A Novel (Oprah's Book Club),Not Found,Not Found,,,
Friday,James Patterson,,1986.0,41.0,
"The Coffeehouse Investor: How to Build Wealth, Ignore Wall Street and Get on With Your Life",Not Found,Not Found,,,
Chic Simple: Scarves (Chic Simple Components),Christa Worthington,,1993.0,1.0,
The Last Don,Mario Puzo,,1996.0,37.0,
The Sicilian,Carole Mortimer,,2007.0,7.0,
"The Bachman Books: Rage, the Long Walk, Roadwork, the Running Man",Stephen King,,1985.0,19.0,
Cigar Box,David Sutton,,2012.0,1.0,
Ghost Boy,Jewell Parker Rhodes,,2014.0,11.0,
The Fantastic Adventures of Robin Hood,Martin H. Greenberg,,1991.0,1.0,
A Widow for One Year : A Novel,Not Found,Not Found,,,
Year of the Griffin,Diana Wynne Jones,,2000.0,8.0,
Coma: A Novel,Not Found,Not Found,,,
Running with Scissors,Augusten Burroughs,,2002.0,17.0,
Confessions of an Ugly Stepsister : A Novel,Not Found,Not Found,,,
The Sculptress (Sculptress),Minette Walters,,1993.0,16.0,
The Bookman's Wake (Cliff Janeway Novels (Paperback)),Not Found,Not Found,,,
Spy Catcher: The Candid Autobiography of a Senior Intelligence Officer,Peter Wright,,1987.0,1.0,
Still Life with  Woodpecker,Tom Robbins,,1980.0,19.0,
Crystal Cave,"Mary Stewart, Mary Stwart",,1970.0,37.0,
Empire,Edward Gibbon,,1776.0,222.0,
House of Leaves,Mark Z. Danielewski,,1998.0,11.0,
Playing for the Ashes,Elizabeth George,,1994.0,11.0,
The Broken Sword: The Return of King Arthur,Not Found,Not Found,,,
"Outcast of Redwall (Redwall, Book 8)",Not Found,Not Found,,,
Good to Great: Why Some Companies Make the Leap... and Others Don't,Summarease,,2015.0,1.0,
Zen and the Art of Motorcycle Maintenance: An Inquiry into Values,Worth Books,,2017.0,1.0,
The Green,Stephen King,,1996.0,91.0,
The Syndrome,Beverly Engel,,2008.0,5.0,
Perdido Street Station,China Miéville,,2000.0,15.0,
Angelas Ashes: A Memoir,"McCourt, Frank",,,1.0,
The Wasp Factory: A Novel,Not Found,Not Found,,,
A Gesture Life,Chang-rae Lee,,1999.0,6.0,
The Lion's Game,"Nelson De Mille, Boyd Gaines",,1971.0,41.0,
The Master of Rain,Tom Bradby,,2002.0,7.0,
I Don't Want to Go to Jail : A Novel,Not Found,Not Found,,,
Pronto,Elmore Leonard,,1993.0,24.0,
The Uncanny,Sigmund Freud,,2002.0,4.0,
You Are Not a Stranger Here,"Adam Haslett, Àlex Gombau",,2002.0,13.0,
Die Insel des vorigen Tages.,Umberto Eco,,1994.0,1.0,
Vincent Price: A Daughter's Biography,Not Found,Not Found,,,
The High King,Lloyd Alexander,,1968.0,39.0,
Tsugumi.,吉本 ばなな,,2002.0,1.0,
Just Like Your Daddy,Tiffany Parker,,2021.0,2.0,
Scooter and the Galactic Starship,Douglas R. Robinson,,2002.0,3.0,
The Great Pretender,Millenia Black,,2002.0,7.0,
My Sister from the Black Lagoon : A Novel of My Life,Not Found,Not Found,,,
The Darwin Awards II: Unnatural Selection,Not Found,Not Found,,,
A Paler Shade of White: The History of White People in America - Volume II,Not Found,Not Found,,,
The Accidental Tourist,Anne Tyler,,1985.0,39.0,
The Sixteenth Round: From Number 1 Contender To #45472,Rubin Carter,,1974.0,5.0,
Praetorian,Simon Scarrow,,2011.0,3.0,
True History of the Kelly Gang,Peter Carey,,2000.0,13.0,
Ring of Fire,Margaret Way,,1978.0,4.0,
"Beneath A Texas Sky (Count On A Cop) (Harlequin Superromance, No. 1034)",Not Found,Not Found,,,
Banners of Silk,Rosalind Laker,,1981.0,4.0,
"Galahad In Blue Jeans (Way Out West) (Silhouette Intimate Moments, 971)",Not Found,Not Found,,,
"Funny, Jonas: You Don't Look Dead",Mary McMullen,,1976.0,2.0,
Dying for Chocolate (Culinary Mysteries (Paperback)),Not Found,Not Found,,,
Beyond the Golden Hills and Other Stories,Anne L. Squire-Buresh,,1991.0,1.0,
Between Husbands &amp; Friends,Nancy Thayer,,1999.0,4.0,
Dave Barry Slept Here,Dave Barry,,1989.0,8.0,
The Rum Diary : A Novel,Unknown,,,1.0,
Welcome to the Funny Farm: The All-True Misadventures of a Woman on the Edge,Unknown,,2001.0,1.0,
The Dilbert Future: Thriving on Business Stupidity in the 21st Century,Not Found,Not Found,,,
The Picture of Dorian Gray,"Oscar Wilde, Oscar Wilde, Oscar Wilde",,1890.0,2296.0,
El Libro de Las Ilusiones,Paul Auster,,2006.0,1.0,
Pnin,Vladimir Nabokov,,1957.0,35.0,
El Ultimo Encuentro,Sándor Márai,,2010.0,1.0,
La Ceremonia del Masaje,Not Found,Not Found,,,
Q,"村上春樹, Haruki Murakami",,2009.0,41.0,
Don Quijote de La Mancha,Miguel de Cervantes Saavedra,,2004.0,13.0,
Estupidos Hombres Blancos,"Michael Moore, MIQUEL IZQUIERDO RAMON",,2005.0,1.0,
Let Me Go,Kazuo Ishiguro,,2005.0,47.0,
Eva Luna - Bolsillo,Not Found,Not Found,,,
La Sombra del Viento,Carlos Ruiz Zafón,,2001.0,93.0,
"Palestina, Ocupacio I Resistencia: Manual Practic Sobre La Questio Palestina I El Conflicte Arabo-Israelia",Not Found,Not Found,,,
Viva el mal! Viva el capital!,Santiago Alba Rico,,1992.0,1.0,
Los Renglones Torcidos De Dios,Torcuato Luca de Tena,,1979.0,3.0,
Cultivo de Plantas Medicinales Aromaticas y Condimenticias,Fernandez,,1997.0,1.0,
Feng Shui: A Complete Guide (Complete Guides),Not Found,Not Found,,,
Les Soldats de Salamine,"Javier Cercas, Elisabeth Beyer, Aleksandar Grujicic",,2004.0,2.0,
J.D. Salinger's Franny and Zooey,Course Hero,,2021.0,1.0,
Nueve Cuentos,J. D. Salinger,,1997.0,4.0,
Emmanuelle,Emmanuelle Arsan,,1967.0,16.0,
Cuentos Para Pensar / Stories To Think About,Jorge Bucay,,1997.0,1.0,
Mujercismas,Terenci Moix,,1998.0,1.0,
Una Historia De Amor Como Otra Cualquiera,Lucía Etxebarría,,2003.0,2.0,
Delta Style: Eve Wasn't a Size 6 and Neither Am I,Not Found,Not Found,,,
"The Austere Academy (A Series of Unfortunate Events, Book 5)",Not Found,Not Found,,,
Brideshead Regained,Michael Johnston,,2003.0,1.0,
Extreme Measures,Vince Flynn,,2008.0,4.0,
The Blind Mirror,Christopher Pike,,2003.0,4.0,
The Door into Summer,Robert A. Heinlein,,1957.0,49.0,
"Lesser Evil (Star Trek Deep Space Nine: Mission Gamma, Book 4)",Not Found,Not Found,,,
"Cathedral (Star Trek Deep Space Nine: Mission Gamma, Book 3)",Not Found,Not Found,,,
"This Gray Spirit (Star Trek Deep Space Nine: Mission Gamma, Book 2)",Not Found,Not Found,,,
"Twilight (Star Trek Deep Space Nine: Mission Gamma, Book 1)",Not Found,Not Found,,,
The Evil That Men Do (Buffy the Vampire Slayer),Nancy Holder,,2018.0,1.0,
The Wisdom of War (Buffy the Vampire Slayer),Christopher Golden,,2002.0,1.0,
Sins of the Father (Buffy the Vampire Slayer),Christopher Golden,,1999.0,2.0,
Resurrecting Ravana  (Buffy the Vampire Slayer),Not Found,Not Found,,,
The Return (Star Trek),William Shatner,,1996.0,6.0,
Preserver (Star Trek),Not Found,Not Found,,,
Dark Victory (Star Trek),Not Found,Not Found,,,
Spectre (Star Trek),William Shatner,,1998.0,7.0,
Gatsby le Magnifique,Francis Scott Fitzgerald,,2022.0,3.0,
LIFE AFTER GOD : LIFE AFTER GOD,Douglas Coupland,,1994.0,14.0,
The Phantom of the Opera (Bullseye Chillers),Not Found,Not Found,,,
Flight,George MacDonald,,1891.0,100.0,
The Haunted Omnibus,"Alexander Laing, Lynd Ward",,1937.0,1.0,
"Stacey and the Bad Girls (Baby-Sitters Club, 87)",Ann M. Martin,,2015.0,1.0,
"Mary Anne Breaks the Rules (Baby-Sitters Club, 79)",Ann M. Martin,,2014.0,1.0,
Due Diligence,Peter Howson,,2006.0,6.0,
Skin Tight,Carl Hiaasen,,1989.0,20.0,
Beneath the Skin,P. D. James,,1982.0,51.0,
The Reef,Nora Roberts,,1998.0,31.0,
Deadly Practice,Christine Green,,1994.0,4.0,
Man From St Petersburg,Ken Follett,,1982.0,54.0,
Lightning Song,Lewis Nordan,,1997.0,3.0,
Name Dropping : What If Two Very Different Women Had The Same Exact Name?,Not Found,Not Found,,,
Chameleon,Eric Carle,,1975.0,39.0,
The Trials of Tiffany Trott,Isabel Wolff,,1998.0,3.0,
LUCKY,Kingsley Amis,,1953.0,48.0,
Royal Invitation,"Kathryn Spink, Kathryn Spink",,1981.0,4.0,
The Basic Steps to Successful Homeschooling,Vicki A. Brady,,1996.0,1.0,
Pagan Babies,Elmore Leonard,,2000.0,17.0,
Prime Cut,Diane Mott Davidson,,1998.0,4.0,
'48,"Robert Greene, Joost Elffers",,1998.0,52.0,
The Homeschooling Book of Answers : The 88 Most Important Questions Answered by Homeschooling's Most Respected Voices,Not Found,Not Found,,,
What Makes a Man Feel Loved,Bob Barnes,,2006.0,1.0,
"Angry Men, Passive Men: Understanding the Roots of Men's Anger and How to Move Beyond It",Not Found,Not Found,,,
The Scold's Bridle,Minette Walters,,1994.0,13.0,
Her Father's House,Belva Plain,,2002.0,6.0,
The Day,"Edward Bulwer Lytton, Baron Lytton",,1800.0,204.0,
The Sins of Eden,Iris Gower,,1990.0,5.0,
The Indoor Boy,Antony Sher,,1991.0,4.0,
Sanft entschlafen. Commissario Brunettis sechster Fall.,Not Found,Not Found,,,
Das Dilbert-Prinzip.,Scott Adams,,1997.0,3.0,
Platero y Yo,Juan Ramón Jiménez,,1914.0,130.0,
Mas Cuentos de Los Viudos Negras,Not Found,Not Found,,,
Cuentos de hadas retorcidos,"Jacobs, A. J.",,2001.0,1.0,
Bueno Para Comer,Not Found,Not Found,,,
Preguntale a Platon,"Marinoff, Lou, PH.D. PhD PhD",,2004.0,1.0,
El Hombre Anumerico,"John Allen Paulos, Josep Maria Llosa",,2016.0,1.0,
Donde El Corazon De Lleve,Susana Tamaro,,2003.0,1.0,
Vida Sin Condiciones,Deepak Chopra,,1992.0,4.0,
Canibales y Reyes,,,1997.0,1.0,
Obras Completas De Agatha Christie (Grandes Maestros Del Crimen Y Misterio),Agatha Christie,,1983.0,1.0,
The Pleasure of My Company: A Novel,Not Found,Not Found,,,
A New Song (The Mitford Years),Jan Karon,,1999.0,1.0,
Jack: Straight from the Gut,Jack Welch,,2001.0,1.0,
Random Acts of Kindness,Lisa Verge Higgins,,2014.0,4.0,
House of Sand and Fog,Andre Dubus III,,1999.0,9.0,
Winterdance: The Fine Madness of Running the Iditarod,Unknown,,,1.0,
Traumberufe rund ums Pferd.,Ria Fehlau,,1993.0,1.0,
Saving Faith,David Baldacci,,1999.0,64.0,
Blade,Sarah J. Maas,,2014.0,17.0,
The Cheerleader (Point Thriller),Not Found,Not Found,,,
Live from New York: An Uncensored History of Saturday Night Live,Not Found,Not Found,,,
El Psicoanalista,John Katzenbach,,2017.0,2.0,
Hunting Season (Anna Pigeon Novels (Paperback)),Not Found,Not Found,,,
The PMS Outlaws : An Elizabeth MacPherson Novel,Not Found,Not Found,,,
Full Speed (Janet Evanovich's Full Series),Janet Evanovich,,2003.0,1.0,
Death on Deadline,Robert Goldsborough,,1987.0,6.0,
The Monkey's Raincoat,Robert Crais,,1987.0,7.0,
Five Bells and Bladebone,Martha Grimes,,1987.0,17.0,
Wildest Dreams,Carole Mortimer,,1997.0,6.0,
The Tulip,Anne Fine,,1997.0,6.0,
The making of Minty Malone,Isabel Wolff,,1999.0,2.0,
Second Thyme Around,Katie Fforde,,2002.0,2.0,
The Mulberry Tree,Jude Deveraux,,2002.0,5.0,
Thursday'S At Eight,"Debbie Macomber, Laural Merlington",,2001.0,16.0,
Love Story,Erich Segal,,1970.0,29.0,
City of the Dead (Resident Evil #3),S. D. Perry,,2012.0,1.0,
CALIBAN COVE: RESIDENT EVIL #2,S. D. Perry,,1998.0,1.0,
Underworld  (Resident Evil #4),S. D. Perry,,2012.0,1.0,
The UMBRELLA CONSPIRACY: RESIDENT EVIL #1,Not Found,Not Found,,,
The Not-So-Jolly Roger (Time Warp Trio),Unknown,,1993.0,1.0,
Knights of the Kitchen Table (Time Warp Trio),Jon Scieszka,,1994.0,1.0,
Summer Reading Is Killing Me (Time Warp Trio (Library)),Not Found,Not Found,,,
The Curious Eat Themselves,John Straley,,1996.0,4.0,
Acts of War (Tom Clancy's Op Center (Paperback)),Not Found,Not Found,,,
The Creative Writing Coursebook: Forty Authors Share Advice and Exercises for Fiction &amp; Poetry,Not Found,Not Found,,,
New Windmills: To Kill a Mockingbird (New Windmills),Not Found,Not Found,,,
Fever Pitch,Nick Hornby,,1992.0,29.0,
Whitsun Weddings,Philip Larkin,,1964.0,11.0,
Love You Forever,Robert N Munsch,,1986.0,39.0,
White Teeth: A Novel,Not Found,Not Found,,,
Quivers: A Life,Not Found,Not Found,,,
East of the Mountains (Vintage Contemporaries (Paperback)),Not Found,Not Found,,,
"Legends: Short Novels by the Masters of Modern Fantasy, Vol. 1",Not Found,Not Found,,,
Wicked : The Life and Times of the Wicked Witch of the West,Not Found,Not Found,,,
The Vision of Emma Blau,Ursula Hegi,,2000.0,8.0,
Firestarter (Signet Book),Not Found,Not Found,,,
A RIVER RUNS THROUGH IT AND OTHER STORIES : AND OTHER STORIES,"Norman  Maclean, Norman Maclean",,1976.0,17.0,
The Outsiders,"S. E. Hinton, Jim Fyfe, Jodi Picoult",,1967.0,77.0,
Death Be Not Proud a Memoir,John Gunther,,1965.0,2.0,
Sophie's World: A Novel About the History of Philosophy,"Jostein Gaarder, Vincent Zabus, Nicoby",,2022.0,1.0,
Silence of the Lambs,Thomas Harris,,1988.0,58.0,
Cry the Beloved Country,Alan Paton,,1940.0,58.0,
The Hot Zone,"Richard Preston, Richard Preston, Preston, Richard",,1994.0,23.0,
Snakes: Their Care and Keeping,Not Found,Not Found,,,
Born Free: A Lioness of Two Worlds,Joy Adamson,,1960.0,4.0,
The Revenants,Michael Punke,,2002.0,3.0,
Akhenaten : Dweller in TruthA Novel,Not Found,Not Found,,,
Shanghai Baby : A Novel,Not Found,Not Found,,,
Midnight's Children,Salman Rushdie,,1981.0,71.0,
Some Days There's Pie: A Novel,Not Found,Not Found,,,
Dragonne's Eg,Mary Brown,,1999.0,1.0,
"Long Hot Summoning (The Keeper's Chronicles, Number 3)",Not Found,Not Found,,,
"The Second Summoning (The Keeper's Chronicles, No 2)",Not Found,Not Found,,,
Sleep Toward Heaven: A Novel,Not Found,Not Found,,,
Lost Woods: The Discovered Writing of Rachel Carson,Not Found,Not Found,,,
Small Wonder: Essays,Barbara,,,1.0,
The Salmon of Doubt,Douglas Adams,,1995.0,29.0,
Round Ireland With a Fridge,Tony Hawks,,1998.0,10.0,
Parzival and the Stone from Heaven: A Grail Romance Retold for Our Time,Not Found,Not Found,,,
The Remarkable Journey of Prince Jen,Lloyd Alexander,,1991.0,9.0,
The Fresco,Sheri S. Tepper,,2000.0,7.0,
The Family Tree,Sheri S. Tepper,,1997.0,6.0,
The Cheetah Chase,Karin McQuillan,,1994.0,2.0,
"Memnoch the Devil (Vampire Chronicles, No 5)",Not Found,Not Found,,,
Through Alien Eyes,Amy Thomson,,1999.0,2.0,
The Color of Distance,Not Found,Not Found,,,
Six Moon Dance,Sheri S. Tepper,,1998.0,7.0,
Lythande,"Marion Zimmer Bradley, Vonda N. McIntyre",,1986.0,8.0,
The Samurai's Wife (A Sano Ichiro Mystery),Not Found,Not Found,,,
Black Lotus (A Sano Ichiro Mystery),Not Found,Not Found,,,
Snow Crash (Bantam Spectra Book),Not Found,Not Found,,,
The Book of Air (Dragon Quartet),Not Found,Not Found,,,
"The Book of Fire (Kellogg, M. Bradley. Dragon Quartet, V. 3.)",Not Found,Not Found,,,
The Book of Water (Daw Book Collectors),Not Found,Not Found,,,
The Book of Earth (Dragon Quartet),Marjorie B. Kellogg,,1995.0,1.0,
The Fellowship of the Ring (Lord of the Rings (Paperback)),Not Found,Not Found,,,
"Mendoza in Hollywood (A Novel of the Company, Book 3)",Not Found,Not Found,,,
"Sky Coyote (A Novel of the Company, Book 2)",Kage Baker,,2000.0,1.0,
Fire Bringer,David Clement-Davies,,1999.0,8.0,
Temporary Agency,"Bas A. S. Koene, Nathalie Galais, Christina Garsten",,2014.0,7.0,
Mister Posterior and the Genius Child,Emily Jenkins,,2002.0,1.0,
"In the Garden of Iden (A Novel of the Company, Book 1)",Not Found,Not Found,,,
Secret,Joseph Conrad,,1907.0,255.0,
First to Fight: An Inside View of the U.S. Marine Corps (Bluejacket Books),Not Found,Not Found,,,
Selected Poems,Anne Sexton,,1988.0,2.0,
Marriages and Families: Making Choices in a Diverse Society,Mary Ann Lamanna,,,1.0,
Dream Island (Medieval Trilogy),Not Found,Not Found,,,
The BIBLE CODE,Michael Drosnin,,1997.0,4.0,
Bachelor Brothers' Bed &amp; Breakfast,"Richardson, Bill",,1993.0,3.0,
Strange but True,John Searles,,2004.0,6.0,
That's Amore,Janelle Denison,,2005.0,1.0,
The Last Chance Cafe : A Novel,Not Found,Not Found,,,
The Summer of My Greek Taverna : A Memoir,Not Found,Not Found,,,
Time and Chance,"Peter Townsend, Peter Townsend",,1978.0,8.0,
The Rapture of Canaan,Sheri Reynolds,,1995.0,5.0,
The Eleanor Roosevelt Girls,Bonnie Charles Bluh,,1998.0,1.0,
"Lucia, Lucia : A Novel",Arthur Japin,,2007.0,1.0,
Simon Says,Carrie Ann Piparo,,2001.0,1.0,
To the Heart of the Nile : Lady Florence Baker and the Exploration of Central Africa,Not Found,Not Found,,,
Dancing in the Dark,Sophie Cleverly,,2016.0,3.0,
Recipes For Easy Living,Curtiss Ann Matlock,,2003.0,1.0,
Mrs. Mike,"Benedict Freedman, Nancy Freedman",,1947.0,8.0,
The Secret Hour,Scott Westerfeld,,2004.0,10.0,
"Those Christmas Angels (Harlequin Superromance, 1164)",Not Found,Not Found,,,
What We Keep : A Novel (Ballantine Reader's Circle),Not Found,Not Found,,,
Heaven and Earth (Three Sisters Island Trilogy),Not Found,Not Found,,,
This is My Daughter: A Novel,Not Found,Not Found,,,
Dance upon the Air (Three Sisters Island Trilogy),Not Found,Not Found,,,
Murder Under Blue Skies,Willard Scott,,1998.0,2.0,
The Future Homemakers of America,"Graham, Laurie",,2001.0,3.0,
Entering Normal (Ballantine Reader's Circle),Not Found,Not Found,,,
Last Puzzle &amp; Testament (Puzzle Lady Mysteries (Paperback)),Andrew Lang,,1905.0,30.0,
Sweet Nothings,Catherine Anderson,,2007.0,1.0,
A Snowball's Chance/ A Christmas Carol,"Nikki Rivers, Kathleen O'Reilly",,2001.0,1.0,
Home To Eden,Margaret Way,,2004.0,3.0,
Maitland Maternity Christmas: (3 Novels in 1),Not Found,Not Found,,,
Christmas Pie,Wanda E. Brunstetter,,2008.0,4.0,
"Book Lust: Recommended Reading for Every Mood, Moment, and Reason",Not Found,Not Found,,,
Dirt Music : A Novel,Not Found,Not Found,,,
Enduring Love,Janette Oke,,1979.0,24.0,
The Next Step in the Dance : A Novel,Not Found,Not Found,,,
One Thousand White Women : The Journals of May Dodd: A Novel,Not Found,Not Found,,,
"Rebekah: Women of Genesis (Women of Genesis, 2)",Not Found,Not Found,,,
The Debt: What America Owes to Blacks,Not Found,Not Found,,,
"Rule by Secrecy: The Hidden History That Connects the Trilateral Commission, the Freemasons, and the Great Pyramids",Jim Marrs,,,1.0,
La Aventura del Tocador de Senoras,Eduardo Mendoza,,2001.0,3.0,
Madame Bovary (Fabula),Not Found,Not Found,,,
Flatland: A Romance of Many Dimensions (Dover Thrift Editions),Not Found,Not Found,,,
The Gift of the Magi and Other Short Stories (Dover Thrift Editions),Not Found,Not Found,,,
The Sculptress,Minette Walters,,1993.0,16.0,
The Legend That Was Earth,James P. Hogan,,2001.0,1.0,
The Vorpal Blade,Colin Forbes,,2001.0,4.0,
Unbearable Lightness of Being,Philip Kaufman,,,1.0,
Letters from Medjugorje,Wayne Weible,,1991.0,2.0,
Road to Wellville,T. Coraghessan Boyle,,1920.0,7.0,
The Family of Pascual Duarte,Camilo José Cela,,1965.0,1.0,
The Secrets of Bach Flower Remedies,Not Found,Not Found,,,
"More Than a Pink Cadillac : Mary Kay, Inc.'s Nine Leadership Keys to Success",Not Found,Not Found,,,
What Looks Like Crazy On An Ordinary Day,Pearl Cleage,,1997.0,6.0,
Angela's Ashes (MMP) : A Memoir,Not Found,Not Found,,,
Mutant Message Down Under,Marlo Morgan,,1994.0,8.0,
Knights of the Whip: Stagecoach Days in Oregon,Not Found,Not Found,,,
The Way of a Boy: A Memoir of Java,Not Found,Not Found,,,
Birds of the Innocent Wood,Deirdre Madden,,1988.0,2.0,
Lady Chatterley's Lover (Penguin Popular Classics),Not Found,Not Found,,,
Grijze Wolven: Een zoektocht naar Turks extreem-rechts,Not Found,Not Found,,,
